player_player_id,rank_of_the_year,player_name,position,college
1976,1,Lee Roy Selmon,Defensive end,Oklahoma
1977,1,Ricky Bell *,Running back,USC
1978,17,Doug Williams,Quarterback,Grambling
1980,22,Ray Snell,Guard,Wisconsin
1981,7,Hugh Green,Linebacker,Pittsburgh
1982,18,Sean Farrell,Guard,Penn State
1985,8,Ron Holmes,Defensive end,Washington
1986,1,Bo Jackson *,Running back,Auburn
1987,1,Vinny Testaverde *,Quarterback,Miami
1988,4,Paul Gruber,Offensive tackle,Wisconsin
1989,6,Broderick Thomas,Linebacker,Nebraska
1990,4,Keith McCants,Linebacker,Alabama
1991,7,Charles McRae,Offensive tackle,Tennessee
1993,6,Eric Curry,Defensive end,Alabama
1994,6,Trent Dilfer,Quarterback,Fresno State
1995,12,Warren Sapp â€ ,Defensive tackle,Miami
1996,12,Regan Upshaw,Defensive end,California
1997,12,Warrick Dunn,Running back,Florida State
2004,15,Michael Clayton,Wide receiver,LSU
2005,5,Carnell Williams,Running Back,Auburn
2006,23,Davin Joseph,Guard,Oklahoma
